x,y,z
220.49139450610957,-149.17828430524102,15.679269490148023
214.809363127381,-142.40669586744005,14.967546865859056
154.66688025639337,-71.605576466515686,7.5260493552710503
77.89345827057727,-20.841426781557139,2.1905222237211515
39.772416985849674,-13.89428452103809,1.4603481491474344
18.093565377424106,-6.9471422605190449,0.73017407457371719
0.2632144884668231,0,0
18.093565377424067,6.9471422605190449,0.73017407457371719
39.772416985849645,13.89428452103809,1.4603481491474344
77.893458270577256,20.841426781557139,2.1905222237211515
154.66688025639337,71.605576466515686,7.5260493552710503
214.809363127381,142.40669586744005,14.967546865859056
220.49139450610957,149.17828430524102,15.679269490148023
