x,y,z
223.43786055054372,-149.17828430524102,15.679269490148023
239.74995340392078,-142.40669586744005,14.967546865859056
227.83223963851151,-71.605576466515686,7.5260493552710503
257.68974572598506,-20.841426781557139,2.1905222237211515
266.89387926459631,-13.89428452103809,1.4603481491474344
267.21858452262632,-6.9471422605190449,0.73017407457371719
269.07246145411597,0,0
267.21858452262632,6.9471422605190449,0.73017407457371719
266.89387926459636,13.89428452103809,1.4603481491474344
257.68974572598506,20.841426781557139,2.1905222237211515
227.83223963851151,71.605576466515686,7.5260493552710503
239.74995340392081,142.40669586744005,14.967546865859056
223.43786055054372,149.17828430524102,15.679269490148023
